"price","room_type","accommodates","cleaning_fee","host_listings_count","availability_90","extra_people","number_of_reviews","bathrooms","bedrooms","security_deposit","neighbourhood_group_cleansed","minimum_nights","longitude","latitude","cozy","cancellation_policy","property_type","polarity","spacious","private"
94,"Entire home/apt",2,95,1,6,0,29,1,0,0,"Manhattan",2,-73.9637522131448,40.8000784844298,FALSE,"moderate","Apartment",0.685714285714286,FALSE,FALSE
150,"Entire home/apt",2,20,1,0,70,3,1,1,0,"Manhattan",3,-73.9990638781807,40.7577374973509,FALSE,"strict","Apartment",0.566138517072298,FALSE,FALSE
240,"Entire home/apt",4,0,1,5,0,5,1,0,229,"Manhattan",2,-74.0057301167959,40.7076782661512,FALSE,"moderate","Apartment",1.12445108559796,FALSE,FALSE
56,"Private room",4,10,7,29,25,190,1,1,0,"Queens",2,-73.9349797104135,40.7549375275477,FALSE,"strict","Apartment",0.359775210718013,FALSE,FALSE
59,"Private room",2,0,1,0,0,1,1,1,0,"Queens",1,-73.9160782930655,40.7084666066816,TRUE,"flexible","Apartment",1.04394028601004,FALSE,FALSE
127,"Entire home/apt",5,60,1,49,20,93,1,1,150,"Bronx",3,-73.9214310743544,40.8090284186564,FALSE,"strict","House",0.395284707521047,FALSE,TRUE
75,"Private room",2,0,1,52,0,9,1,1,0,"Brooklyn",3,-73.9635889826523,40.6368734715397,FALSE,"flexible","House",0.714285714285714,FALSE,FALSE
345,"Entire home/apt",4,125,1,74,0,14,2,2,400,"Manhattan",4,-73.9759596270022,40.783642462924,TRUE,"moderate","Apartment",1.70753115655393,FALSE,TRUE
78,"Private room",1,0,3,0,50,1,1,1,0,"Queens",1,-73.9293446045325,40.7559655177055,FALSE,"flexible","Apartment",0.439809999682699,FALSE,FALSE
270,"Entire home/apt",5,75,1,19,50,10,1,2,200,"Brooklyn",3,-73.9936947247191,40.6849976702326,FALSE,"flexible","Apartment",0.318888916152742,FALSE,FALSE
92,"Entire home/apt",4,100,1,48,13,73,1,1,150,"Brooklyn",3,-73.9345242170648,40.651760839706,FALSE,"strict","Yurt",0.816496580927726,TRUE,FALSE
84,"Private room",4,35,1,86,0,3,1,1,300,"Brooklyn",2,-73.9554257705371,40.7319777317502,FALSE,"flexible","Apartment",0.730296743340221,FALSE,FALSE
419,"Private room",2,85,1,0,0,2,1,1,0,"Brooklyn",1,-73.9939042042045,40.6865088852145,FALSE,"flexible","Apartment",0,FALSE,FALSE
69,"Private room",3,35,3,49,25,13,1,1,0,"Brooklyn",2,-73.9152702962631,40.7054864238648,FALSE,"strict","Apartment",1.32289700928498,FALSE,TRUE
459,"Entire home/apt",6,130,1,35,30,19,2,3,195,"Manhattan",2,-73.9903432602345,40.762998672446,FALSE,"strict","Apartment",0.999512076087079,TRUE,TRUE
203,"Entire home/apt",3,0,1,11,0,1,1,1,0,"Manhattan",8,-73.98399804048,40.7265993225545,FALSE,"flexible","Apartment",0.914991421995628,TRUE,FALSE
60,"Private room",2,20,2,69,30,1,1,1,0,"Staten Island",1,-74.086362594507,40.6396678814105,FALSE,"strict","Loft",0.817807754799087,FALSE,TRUE
126,"Private room",2,15,3,37,20,103,1,1,0,"Brooklyn",2,-73.97595821889,40.6801761860791,FALSE,"moderate","House",1.62186151770387,TRUE,FALSE
70,"Entire home/apt",6,20,2,30,10,11,1,2,250,"Brooklyn",2,-74.0072004737209,40.6264260122746,FALSE,"strict","Apartment",0.808242422762805,TRUE,FALSE
84,"Private room",2,0,5,89,20,23,1,4,200,"Manhattan",25,-73.9886302411485,40.7613381883846,FALSE,"strict","Apartment",0.547722557505166,FALSE,FALSE
392,"Entire home/apt",4,125,1,60,50,6,1,2,0,"Manhattan",2,-73.9954724764957,40.7236374886458,FALSE,"moderate","Apartment",1.3288211940535,FALSE,FALSE
85,"Entire home/apt",4,50,1,76,20,1,1,1,0,"Brooklyn",3,-74.0219110444392,40.6433930443714,FALSE,"strict","Guest suite",0.29649972666444,FALSE,TRUE
444,"Entire home/apt",10,200,1,83,50,5,1,3,0,"Manhattan",5,-73.9672828738451,40.8079169494495,TRUE,"strict","Apartment",0.994691793826551,FALSE,FALSE
37,"Private room",2,20,10,84,5,30,2,1,0,"Brooklyn",2,-73.9059709576393,40.6912848129498,FALSE,"strict","Apartment",0.187317162316339,FALSE,TRUE
145,"Entire home/apt",2,0,2,2,0,3,1,1,600,"Manhattan",15,-73.9970772814542,40.7198728001618,FALSE,"strict","Apartment",1.12564235309032,FALSE,FALSE
53,"Private room",3,0,2,89,15,8,1,1,500,"Brooklyn",2,-73.9519996994694,40.6584755568984,FALSE,"flexible","Apartment",0.297317658498867,FALSE,FALSE
173,"Private room",2,50,2,66,0,192,1,1,100,"Manhattan",1,-73.9885311351703,40.7620606005942,FALSE,"strict","Apartment",0.291729982995789,FALSE,TRUE
264,"Entire home/apt",6,150,2,36,30,49,2,3,500,"Brooklyn",4,-73.9419580704737,40.680095563369,FALSE,"strict","Apartment",0.356034497458156,TRUE,FALSE
111,"Private room",4,89,4,76,79,4,1,1,200,"Manhattan",1,-73.9867295750115,40.761269952446,FALSE,"strict","Apartment",0.382359556450936,FALSE,TRUE
188,"Entire home/apt",4,100,1,0,0,5,1.5,2,500,"Brooklyn",3,-73.9445283849715,40.7160918157562,FALSE,"moderate","Apartment",0.149071198499986,FALSE,TRUE
194,"Entire home/apt",2,100,2,15,35,64,1,2,100,"Manhattan",3,-73.982484307783,40.7819359249029,FALSE,"strict","Apartment",0.594744424297158,FALSE,TRUE
128,"Entire home/apt",2,0,1,0,0,3,1,1,0,"Brooklyn",1,-73.9650366510559,40.6922889161541,FALSE,"flexible","Apartment",0.254000254000381,FALSE,FALSE
73,"Private room",1,50,1,0,30,4,3,1,0,"Brooklyn",2,-73.9292550890979,40.7022723337602,FALSE,"strict","Apartment",0.543214476255111,FALSE,FALSE
59,"Private room",4,0,1,0,0,2,1.5,2,0,"Brooklyn",1,-73.9545833974716,40.6829310190576,FALSE,"flexible","Apartment",0.622222222222222,FALSE,TRUE
49,"Private room",2,0,1,0,10,1,2,1,0,"Manhattan",6,-73.9532544851377,40.8021371879012,FALSE,"flexible","Apartment",0.238667185252719,FALSE,FALSE
234,"Entire home/apt",5,80,2,42,20,56,1,2,400,"Brooklyn",3,-73.9464339399434,40.711098538244,FALSE,"strict","Apartment",1.04164922722708,FALSE,TRUE
56,"Entire home/apt",1,0,1,64,10,43,1,1,0,"Queens",28,-73.9168668863095,40.7767944165256,FALSE,"strict","Apartment",0.43994134506406,FALSE,FALSE
231,"Entire home/apt",6,100,1,8,50,29,2,3,0,"Brooklyn",3,-73.9409964184295,40.7215507270117,FALSE,"strict","House",0.226133508433323,FALSE,TRUE
166,"Entire home/apt",4,100,2,67,20,30,1,2,200,"Brooklyn",3,-73.9544504962005,40.6896660191474,TRUE,"strict","Loft",1.58627353765476,FALSE,FALSE
53,"Entire home/apt",2,35,1,0,10,5,1,1,400,"Manhattan",3,-73.9409508966673,40.8095126019472,FALSE,"strict","Apartment",0.699463047568129,FALSE,TRUE
217,"Entire home/apt",2,0,1,12,0,7,1,1,0,"Manhattan",14,-73.9876343940173,40.7280848014809,FALSE,"flexible","Apartment",0.705419435733721,FALSE,FALSE
168,"Entire home/apt",3,70,1,0,0,13,1,0,500,"Manhattan",4,-73.982279589022,40.7675035646835,FALSE,"strict","Apartment",0.78086880944303,TRUE,FALSE
166,"Entire home/apt",4,100,1,26,20,12,1,1,700,"Manhattan",40,-73.9818685854976,40.7380651265209,FALSE,"strict","Apartment",0.614726116866498,FALSE,FALSE
38,"Private room",1,20,2,33,30,5,1,1,100,"Brooklyn",2,-73.9284930258237,40.6928521563758,FALSE,"strict","Apartment",0.636363636363636,FALSE,FALSE
111,"Private room",1,10,2,0,25,2,1.5,1,200,"Manhattan",2,-73.9873470241886,40.7336289621795,TRUE,"flexible","Apartment",1.31646563229212,FALSE,TRUE
258,"Entire home/apt",4,65,1,15,0,9,2,2,0,"Brooklyn",3,-73.9664366651098,40.7166624498969,FALSE,"moderate","Apartment",0.461423224821923,TRUE,FALSE
273,"Entire home/apt",4,100,1,1,0,1,1,2,0,"Manhattan",7,-73.9872909354689,40.7312694706773,FALSE,"flexible","Apartment",0.529150262212918,FALSE,FALSE
73,"Entire home/apt",2,0,1,0,0,8,1,1,0,"Manhattan",5,-73.9297564765888,40.8526440507157,FALSE,"strict","Apartment",0.740810367098085,FALSE,FALSE
579,"Entire home/apt",9,250,1,60,29,13,1.5,4,500,"Manhattan",3,-73.9952475362617,40.7596899021432,FALSE,"strict","Apartment",1.28454713798025,TRUE,FALSE
55,"Private room",2,40,1,90,35,55,1,1,115,"Brooklyn",2,-73.9460793787828,40.693343955927,FALSE,"moderate","Apartment",1.21445835289198,FALSE,TRUE
69,"Private room",2,5,1,30,125,207,1,1,0,"Manhattan",1,-73.9761614756785,40.7888257410517,FALSE,"strict","Apartment",0.87988269012812,FALSE,TRUE
249,"Entire home/apt",5,68,1,55,20,52,1,2,100,"Manhattan",3,-73.9995179800818,40.7268088459636,TRUE,"strict","Apartment",0.340974685664106,TRUE,FALSE
152,"Entire home/apt",4,140,1,43,0,54,1,1,250,"Manhattan",2,-73.9652759799903,40.7562125816392,FALSE,"strict","Apartment",0.983383966290499,TRUE,FALSE
67,"Private room",1,120,3,0,0,1,1,1,500,"Manhattan",160,-73.9991987961248,40.728079646809,TRUE,"strict","Apartment",0.881973409447284,FALSE,TRUE
165,"Entire home/apt",7,60,2,90,50,4,1,2,0,"Queens",2,-73.8128553216705,40.5872263218032,TRUE,"strict","Bungalow",0,FALSE,TRUE
169,"Entire home/apt",2,0,1,1,0,11,1,1,0,"Manhattan",14,-74.001829368188,40.7407880390043,FALSE,"strict","Apartment",0.912517491362774,FALSE,FALSE
51,"Private room",2,20,4,78,0,97,1,1,0,"Brooklyn",1,-73.9285206945878,40.6981974666185,FALSE,"strict","Apartment",0.68507907086214,FALSE,FALSE
96,"Entire home/apt",3,50,3,80,30,32,1,1,0,"Brooklyn",2,-73.9435510698697,40.7155808118588,FALSE,"strict","Apartment",0.452267016866645,FALSE,FALSE
252,"Entire home/apt",6,150,39,42,0,2,2,2,0,"Manhattan",30,-73.9512743798939,40.7782339510912,FALSE,"flexible","Apartment",0.587426950807682,TRUE,FALSE
67,"Private room",2,0,1,0,0,10,1,1,0,"Brooklyn",1,-73.9510719249655,40.7156444008916,FALSE,"flexible","Apartment",0.174077655955698,FALSE,TRUE
66,"Private room",4,25,11,51,10,17,4,1,0,"Brooklyn",2,-73.9456741662204,40.6859041371952,FALSE,"strict","Apartment",0.356239350465588,FALSE,TRUE
33,"Private room",2,55,1,66,50,22,1,1,0,"Brooklyn",1,-73.9524796952225,40.728684919149,TRUE,"moderate","Apartment",0.758346767883454,FALSE,FALSE
83,"Entire home/apt",4,70,1,0,15,2,1,2,0,"Brooklyn",3,-73.980229766846,40.6485301053367,FALSE,"moderate","Apartment",0.395284707521047,FALSE,FALSE
266,"Entire home/apt",1,100,1,82,0,13,1,0,100,"Manhattan",3,-73.9925438910022,40.7315750363823,FALSE,"strict","Apartment",0.10976425998969,FALSE,TRUE
65,"Private room",2,5,1,26,15,120,1,1,0,"Manhattan",3,-73.9400275113313,40.7980244595256,TRUE,"strict","Apartment",1.0215078369105,FALSE,FALSE
55,"Entire home/apt",2,45,1,0,0,30,1,1,100,"Brooklyn",3,-73.980785418643,40.6258606570311,TRUE,"strict","Apartment",0.71374642714633,FALSE,TRUE
55,"Private room",1,0,1,0,0,1,1,1,0,"Brooklyn",8,-73.9354352476256,40.6706522683608,FALSE,"flexible","Apartment",0.617213399848368,FALSE,TRUE
237,"Entire home/apt",2,100,964,90,0,1,1,0,0,"Manhattan",30,-74.0137200399624,40.709096701971,FALSE,"strict","Apartment",1.3199500146737,TRUE,TRUE
45,"Private room",1,25,4,56,10,22,1,1,100,"Queens",3,-73.8202875964901,40.6919638628717,FALSE,"moderate","Apartment",0.43355498476206,FALSE,TRUE
592,"Entire home/apt",16,195,4,49,0,10,4,7,250,"Brooklyn",2,-73.9459327654385,40.7149614455625,TRUE,"strict","Townhouse",0.676891289781319,FALSE,TRUE
81,"Private room",2,25,2,56,20,67,1,1,100,"Manhattan",2,-73.9372587260661,40.8231508812628,FALSE,"strict","Apartment",0.380142960634853,FALSE,TRUE
57,"Private room",2,50,1,87,20,19,1,1,350,"Brooklyn",2,-73.9237544543846,40.6931943095504,FALSE,"strict","Apartment",0.584634717416772,FALSE,TRUE
139,"Entire home/apt",2,0,1,0,0,3,1,1,0,"Manhattan",2,-73.9937099175035,40.7577424636084,FALSE,"moderate","Apartment",0.171498585142509,TRUE,FALSE
217,"Entire home/apt",3,75,1,73,0,24,1,0,300,"Manhattan",2,-74.0086098427185,40.7398463422329,FALSE,"moderate","Apartment",1.2924860661585,TRUE,FALSE
65,"Private room",2,0,2,17,0,2,1,1,0,"Brooklyn",4,-73.9368551063552,40.6896664370187,FALSE,"flexible","Apartment",0.338061701891407,FALSE,TRUE
107,"Private room",2,60,1,86,35,44,1,1,500,"Manhattan",2,-73.9839753392689,40.72780680718,FALSE,"strict","Apartment",1.16275534829989,FALSE,FALSE
98,"Entire home/apt",3,95,1,1,0,34,1,0,0,"Manhattan",1,-74.0037508133472,40.7357106686877,TRUE,"strict","Apartment",1.20716424275325,FALSE,FALSE
226,"Entire home/apt",3,125,1,62,0,11,1,1,300,"Manhattan",1,-73.9981397487155,40.7186960334715,FALSE,"strict","Apartment",1.04355162785556,FALSE,FALSE
64,"Private room",2,15,1,0,40,4,1,1,100,"Brooklyn",2,-73.965253244854,40.5786665907437,FALSE,"strict","Apartment",0.454858826147342,FALSE,FALSE
45,"Private room",4,25,8,22,6,15,1,2,100,"Brooklyn",1,-73.9797824884355,40.6438492834587,FALSE,"strict","House",0.396177386708442,FALSE,TRUE
89,"Private room",3,0,1,86,0,4,1,1,0,"Queens",3,-73.8582818062221,40.7153444042397,FALSE,"flexible","Guest suite",0,FALSE,FALSE
70,"Entire home/apt",4,50,2,0,0,12,1,2,0,"Brooklyn",4,-73.9523621864389,40.678932636622,TRUE,"flexible","Apartment",0.738461538461538,FALSE,FALSE
217,"Entire home/apt",2,50,1,4,40,9,1,1,0,"Manhattan",1,-73.9654776841476,40.7557617029652,TRUE,"moderate","Apartment",1.38053697992527,TRUE,FALSE
67,"Private room",3,60,1,44,40,29,1,1,200,"Manhattan",1,-73.9886513832954,40.7618110877278,FALSE,"strict","Apartment",1.47252964597736,TRUE,TRUE
71,"Private room",2,0,2,0,0,46,1,1,0,"Manhattan",2,-73.9541957511382,40.8071271174435,FALSE,"moderate","Apartment",0.998777029949906,FALSE,TRUE
73,"Private room",2,0,1,0,0,1,1,1,0,"Queens",1,-73.9047167461534,40.7084696399921,TRUE,"flexible","Apartment",0.555492059863531,FALSE,FALSE
37,"Private room",1,35,1,0,25,1,1,1,300,"Brooklyn",5,-73.9717628297946,40.6428735198192,FALSE,"flexible","Bed and breakfast",0.802955068546966,FALSE,FALSE
84,"Private room",2,20,1,0,10,12,1,1,0,"Manhattan",7,-74.004030798775,40.7489879639761,FALSE,"strict","Apartment",0.817206269528399,FALSE,TRUE
55,"Private room",1,25,1,81,25,89,1,1,100,"Brooklyn",2,-73.9243422696887,40.6716720135896,FALSE,"strict","Apartment",0.861538461538461,TRUE,TRUE
88,"Private room",2,25,2,81,0,66,1,1,0,"Brooklyn",3,-73.998318959038,40.6925977647878,FALSE,"moderate","Apartment",0.310460210282533,FALSE,TRUE
122,"Entire home/apt",4,50,3,89,20,3,1,2,0,"Brooklyn",2,-73.9191824264275,40.6858160571275,FALSE,"strict","Townhouse",0.942857142857143,TRUE,FALSE
95,"Entire home/apt",2,75,1,0,0,8,1,1,0,"Manhattan",3,-73.9182100932921,40.8725389185652,FALSE,"moderate","Apartment",1.41399597431698,TRUE,FALSE
59,"Private room",2,20,2,0,0,1,1,1,0,"Manhattan",1,-73.979697106733,40.7231412239373,TRUE,"flexible","Apartment",0.457495710997814,FALSE,FALSE
185,"Entire home/apt",4,0,1,0,0,2,1,1,0,"Manhattan",3,-73.9733779936472,40.7521969091293,FALSE,"strict","Timeshare",0.420084025208403,FALSE,FALSE
360,"Entire home/apt",6,150,1,0,50,1,2.5,2,350,"Brooklyn",3,-73.9874624866523,40.6633185645374,FALSE,"moderate","House",1.33564614224126,TRUE,FALSE
111,"Entire home/apt",2,60,2,0,0,10,1,1,0,"Brooklyn",2,-73.9235804951549,40.7058668189542,FALSE,"strict","Apartment",0.883636241974084,FALSE,FALSE
112,"Entire home/apt",5,75,3,17,20,109,1,2,250,"Brooklyn",3,-73.9425167175611,40.6792687514755,TRUE,"moderate","Apartment",1.26634764722661,TRUE,FALSE
37,"Private room",1,15,6,90,25,39,1,1,0,"Bronx",1,-73.8728890682319,40.8314954910506,FALSE,"strict","Apartment",0,FALSE,FALSE
87,"Private room",3,30,5,90,30,10,1,1,150,"Brooklyn",8,-74.0035831832847,40.6565721013883,TRUE,"strict","Apartment",0.877526908952557,FALSE,TRUE
111,"Private room",2,40,1,83,0,8,1,1,150,"Brooklyn",2,-73.9523103318022,40.671104066795,FALSE,"strict","Apartment",0.310460210282533,FALSE,FALSE
94,"Private room",4,80,1,83,10,23,1,1,300,"Brooklyn",2,-73.9464229374827,40.7137396438957,FALSE,"strict","Apartment",1.32307692307692,TRUE,FALSE
82,"Entire home/apt",2,0,1,48,0,22,1,1,0,"Manhattan",30,-73.9874868847639,40.7310198133858,FALSE,"strict","Apartment",0.509201054874903,FALSE,FALSE
107,"Private room",1,30,1,89,75,26,1,1,100,"Manhattan",1,-73.9554503965907,40.8160019436679,FALSE,"strict","Apartment",1.30002303065735,TRUE,FALSE
38,"Private room",2,20,1,88,25,23,1,1,200,"Manhattan",5,-73.9491582854098,40.8325179064561,FALSE,"strict","Apartment",0.858955690387333,FALSE,TRUE
61,"Private room",1,10,1,90,0,7,1,1,0,"Brooklyn",1,-73.9901330108067,40.6615469028565,FALSE,"flexible","Apartment",0.425931124519735,FALSE,FALSE
174,"Entire home/apt",4,100,1,3,0,9,1,2,0,"Manhattan",7,-73.9991699482659,40.7448172201162,FALSE,"moderate","Apartment",0.291729982995789,FALSE,FALSE
155,"Private room",2,0,1,0,0,1,1,1,0,"Manhattan",1,-73.9828437974765,40.7829563554848,FALSE,"flexible","Apartment",0.353553390593274,FALSE,FALSE
25,"Private room",1,25,4,69,0,33,1,1,250,"Brooklyn",5,-73.9627310756687,40.6422447930394,TRUE,"strict","Townhouse",1.39516406154283,FALSE,FALSE
338,"Entire home/apt",2,0,1,0,0,1,1,0,0,"Manhattan",3,-73.9934387041188,40.7207773057246,FALSE,"strict","Loft",1.68920330961938,TRUE,FALSE
113,"Entire home/apt",4,15,1,57,15,21,1,1,100,"Brooklyn",1,-73.9285487097474,40.6425624437847,TRUE,"strict","House",1.00942922903047,FALSE,TRUE
190,"Entire home/apt",2,30,1,0,25,1,1,0,300,"Manhattan",1,-73.9624304721021,40.757903731816,FALSE,"flexible","Apartment",0.442325868464691,TRUE,FALSE
45,"Private room",1,15,6,90,89,2,1,1,0,"Brooklyn",1,-73.8739136358857,40.6726198827641,FALSE,"strict","Apartment",0.339683110243379,FALSE,FALSE
97,"Entire home/apt",2,0,1,0,0,1,1,1,0,"Manhattan",60,-73.9572207346262,40.8097990716781,FALSE,"strict","Apartment",2.01819537775248,FALSE,FALSE
168,"Entire home/apt",2,75,1,90,0,1,1,1,0,"Manhattan",1,-73.9338548798954,40.7931484267367,FALSE,"moderate","Apartment",0.80075721739621,FALSE,FALSE
148,"Entire home/apt",4,30,1,0,30,56,1,2,0,"Manhattan",3,-73.9484902144876,40.8237919497402,TRUE,"strict","Apartment",0.524672182297103,FALSE,FALSE
93,"Private room",2,25,1,0,0,23,1,1,500,"Brooklyn",1,-73.9232036336051,40.7058062955482,FALSE,"strict","Apartment",0.643333157097012,FALSE,TRUE
79,"Private room",2,25,5,19,10,20,2,1,100,"Brooklyn",2,-73.9501161744543,40.707856476164,FALSE,"moderate","Apartment",1.32402548248169,FALSE,TRUE
78,"Entire home/apt",2,75,18,71,0,20,1,1,150,"Brooklyn",1,-73.9227287304578,40.7007413972768,FALSE,"strict","Apartment",0.977139836403678,FALSE,TRUE
164,"Entire home/apt",2,50,1,0,0,15,1,1,0,"Manhattan",1,-73.9849746843542,40.7299749533597,TRUE,"flexible","Apartment",1.1642257885595,TRUE,FALSE
37,"Private room",2,25,3,0,0,10,1,1,100,"Staten Island",2,-74.1239293548508,40.6314919515082,FALSE,"strict","House",0.377964473009227,TRUE,TRUE
36,"Shared room",4,35,5,80,30,64,1,1,100,"Brooklyn",1,-73.9542947097824,40.5987232596339,TRUE,"strict","Apartment",1.23330962518702,TRUE,FALSE
133,"Private room",2,0,4,14,50,106,1,1,0,"Manhattan",2,-73.984716803993,40.7586259011227,FALSE,"strict","Apartment",0.127000127000191,FALSE,TRUE
176,"Entire home/apt",2,80,2,36,0,13,1,1,0,"Brooklyn",2,-73.9541222093812,40.7269237344685,TRUE,"strict","Apartment",0.912343105523647,TRUE,TRUE
119,"Private room",1,20,2,0,0,1,1,1,0,"Manhattan",3,-73.9906551108277,40.7170733864287,FALSE,"flexible","Apartment",0.789115139065715,FALSE,FALSE
